doi,dataset_used,target_variable,top_predictors,performance_metrics,standardized_conclusion,source_category,effect_size,primary_finding,target_domain,target_dimension,predictor_filter_categories
10.1016/j.caeai.2024.100249,TIMSS 2019 eTIMSS Grade 8 Mathematics (graphical response items; trichotomous scoring),CNN-scored item category agreement with human raters (incorrect vs partial vs full credit),,"Trichotomous item ME62300: accuracy 97.99% and average F1-score 0.9766 on the clean validation sample (Table 8); average loss 0.1214; for incorrectly human-scored responses, accuracy 88.81% (Table 9).","Using TIMSS 2019 eTIMSS Grade 8 graphical response item the study leveraged convolutional neural networks to classify each student image into incorrect/partial/full categories, finding that performance remained high but lower than dichotomous items (accuracy ≈98% and F1 ≈0.977 for ME62300). This indicates that CNN-based validation is feasible for more complex graphical items with additional score categories, but operational deployment should expect reduced reliability for partial-credit distinctions and may require targeted data cleaning and augmentation.",peer_reviewed_research,"Trichotomous item ME62300: accuracy 97.99% and average F1-score 0.9766 on the clean validation sample (Table 8); average loss 0.1214; for incorrectly human-scored responses, accuracy 88.81% (Table 9).","Using TIMSS 2019 eTIMSS Grade 8 graphical response item the study leveraged convolutional neural networks to classify each student image into incorrect/partial/full categories, finding that performance remained high but lower than dichotomous items (accuracy ≈98% and F1 ≈0.977 for ME62300). This indicates that CNN-based validation is feasible for more complex graphical items with additional score categories, but operational deployment should expect reduced reliability for partial-credit distinctions and may require targeted data cleaning and augmentation.",Composite / Multi-Domain,Cognitive Achievement,
10.1016/j.caeai.2024.100249,TIMSS 2019 eTIMSS (all eight selected graphical response items; IRT-informed cleaning stage),Identification of incorrectly or inconsistently scored responses (human rater vs IRT-expected-score agreement; CNN-assisted cleaning),,"Data cleaning stage: CNN-human agreement increased after removing responses flagged as incorrectly or inconsistently scored; in Stage 2 (IRT-based ES), best models reached over 99% revised accuracy for dichotomous items (99.47%–99.92%) and 98.07% for the trichotomous item (Table 6). The study reports that CNNs helped identify up to ~2% of student responses as incorrectly or inconsistently scored by human raters (Conclusion).","Using TIMSS 2019 eTIMSS graphical response item the study leveraged CNN-based automated scoring combined with IRT-based expected-score modeling to clean the training data and flag responses with potential human rater errors or inconsistencies, finding that revised agreement exceeded 99% for dichotomous items and about 98% for the trichotomous item after removing flagged cases. This indicates that CNNs can operationally function as a validation/quality-control layer in ILSA scoring workflows, enabling targeted re-scoring by content experts rather than full double-scoring, though the approach depends on manual review capacity and does not by itself establish causal scoring validity.",peer_reviewed_research,"Data cleaning stage: CNN-human agreement increased after removing responses flagged as incorrectly or inconsistently scored; in Stage 2 (IRT-based ES), best models reached over 99% revised accuracy for dichotomous items (99.47%–99.92%) and 98.07% for the trichotomous item (Table 6). The study reports that CNNs helped identify up to ~2% of student responses as incorrectly or inconsistently scored by human raters (Conclusion).","Using TIMSS 2019 eTIMSS graphical response item the study leveraged CNN-based automated scoring combined with IRT-based expected-score modeling to clean the training data and flag responses with potential human rater errors or inconsistencies, finding that revised agreement exceeded 99% for dichotomous items and about 98% for the trichotomous item after removing flagged cases. This indicates that CNNs can operationally function as a validation/quality-control layer in ILSA scoring workflows, enabling targeted re-scoring by content experts rather than full double-scoring, though the approach depends on manual review capacity and does not by itself establish causal scoring validity.",Composite / Multi-Domain,Cognitive Achievement,
10.1007/s10639-023-11881-8,PIRLS 2016 Grade 4 Reading (Morocco),Reading proficiency class (Low vs Others),"Reading achievement too low, Students confident in reading, Early literacy tasks, Student age, Reading is boring","Gradient Boosting (best): Accuracy=80.97, F1=63.80. Other models: Random Forest Accuracy=79.38 F1=56.40; Logistic Regression Accuracy=78.79 F1=62.76; KNN Accuracy=75.89 F1=48.70; Naive Bayes Accuracy=73.01 F1=60.73; Decision Tree Accuracy=73.50 F1=52.37; SVM Accuracy=70.20 (F1 not reported/0.00).","Using PIRLS 2016 Grade 4 Reading (Morocco) the study leveraged Reading achievement too low, Students confident in reading, Early literacy tasks, Student age, and Reading is boring to predict whether students fall in the Low reading proficiency class versus Others, finding that Gradient Boosting achieved the highest classification performance (Accuracy=80.97, F1=63.80). This indicates that combining early literacy competence with students’ reading self-beliefs and classroom/school learning climate variables may improve identification of students at risk of low reading achievement, though the study’s binary outcome is derived from PV-based benchmarks and the paper does not document survey-weighted estimation or causal identification.",peer_reviewed_research,"Gradient Boosting (best): Accuracy=80.97, F1=63.80. Other models: Random Forest Accuracy=79.38 F1=56.40; Logistic Regression Accuracy=78.79 F1=62.76; KNN Accuracy=75.89 F1=48.70; Naive Bayes Accuracy=73.01 F1=60.73; Decision Tree Accuracy=73.50 F1=52.37; SVM Accuracy=70.20 (F1 not reported/0.00).","Using PIRLS 2016 Grade 4 Reading (Morocco) the study leveraged Reading achievement too low, Students confident in reading, Early literacy tasks, Student age, and Reading is boring to predict whether students fall in the Low reading proficiency class versus Others, finding that Gradient Boosting achieved the highest classification performance (Accuracy=80.97, F1=63.80). This indicates that combining early literacy competence with students’ reading self-beliefs and classroom/school learning climate variables may improve identification of students at risk of low reading achievement, though the study’s binary outcome is derived from PV-based benchmarks and the paper does not document survey-weighted estimation or causal identification.",Composite / Multi-Domain,Cognitive Achievement,Student: Prior Achievement; Student: Attitudinal/Behavioral; Student: Demographic
10.1007/s12186-024-09347-0,OECD,"Literacy, Problem Solving, Task Performance",See outcome_summary (descriptive associations not coded as predictors),Descriptive statistics only (no ML performance metrics; see outcome_summary),"Using OECD data, the document summarizes Literacy, Problem Solving, Task Performance in relation to See outcome_summary (descriptive associations not coded as predictors), reporting that This paper does not present empirical ML results; it provides an OECD PISA‑VET assessment and analytical framework design. This indicates that The authors emphasize cross-sectional limitations for causal claims and highlight validity–reliability–feasibility trade-offs inherent in authentic performance assessments.",methodology_paper,Descriptive statistics only (no ML performance metrics; see outcome_summary),"Using OECD data, the document summarizes Literacy, Problem Solving, Task Performance in relation to See outcome_summary (descriptive associations not coded as predictors), reporting that This paper does not present empirical ML results; it provides an OECD PISA‑VET assessment and analytical framework design. This indicates that The authors emphasize cross-sectional limitations for causal claims and highlight validity–reliability–feasibility trade-offs inherent in authentic performance assessments.",Problem Solving,Cognitive Achievement,Student: Attitudinal/Behavioral
10.33225/jbse/22.21.575,PISA 2018 Reading (PV1READ; 15-year-olds),Reading achievement (low vs high using PV1READ thresholds),"Meta-cognition assess credibility (METASPAM), Meta-cognition summarizing texts (METASUM), Understanding and remembering (UNDREM), Perceived PISA test difficulty (PISADIFF), Socioeconomic status (ESCS)",Not reported,"Using PISA 2018 Reading data (PV1READ; 15-year-olds), the study leveraged meta-cognition credibility (METASPAM), text summarizing (METASUM), understanding/remembering (UNDREM), perceived test difficulty (PISADIFF), and ESCS to classify students into low vs high reading ability, finding that self-awareness/metacognitive variables were among the most influential predictors and that ESCS was a key family-level factor in China. This indicates that strengthening students’ metacognitive study practices and targeting low-ESCS students with additional learning support may improve reading outcomes, though the CART results are predictive and do not establish causal effects.",peer_reviewed_research,Not reported,"Using PISA 2018 Reading data (PV1READ; 15-year-olds), the study leveraged meta-cognition credibility (METASPAM), text summarizing (METASUM), understanding/remembering (UNDREM), perceived test difficulty (PISADIFF), and ESCS to classify students into low vs high reading ability, finding that self-awareness/metacognitive variables were among the most influential predictors and that ESCS was a key family-level factor in China. This indicates that strengthening students’ metacognitive study practices and targeting low-ESCS students with additional learning support may improve reading outcomes, though the CART results are predictive and do not establish causal effects.",Reading,Cognitive Achievement,Student: SES; Student: Attitudinal/Behavioral
10.33225/jbse/22.21.575,PISA 2018 Mathematics (PV1MATH; 15-year-olds),Mathematics achievement (low vs high using PV1MATH thresholds),"Meta-cognition assess credibility (METASPAM), Meta-cognition summarizing texts (METASUM), Perceived PISA test difficulty (PISADIFF), Science learning time per week (SMINS), School lessons per week (ST060Q01NA)",Not reported,"Using PISA 2018 Mathematics data (PV1MATH; 15-year-olds), the study leveraged METASPAM, METASUM, PISADIFF, and school learning-time indicators (SMINS and ST060Q01NA) to classify students into low vs high mathematics ability, finding that metacognitive awareness and school learning opportunities were prominent across China and that cooperation/competition-related factors also mattered for mathematics and science. This indicates that policies promoting structured learning time and classroom practices that balance cooperative and competitive engagement may support mathematics achievement, while the study’s preprocessing and lack of reported model metrics/weights limit precision and generalizability.",peer_reviewed_research,Not reported,"Using PISA 2018 Mathematics data (PV1MATH; 15-year-olds), the study leveraged METASPAM, METASUM, PISADIFF, and school learning-time indicators (SMINS and ST060Q01NA) to classify students into low vs high mathematics ability, finding that metacognitive awareness and school learning opportunities were prominent across China and that cooperation/competition-related factors also mattered for mathematics and science. This indicates that policies promoting structured learning time and classroom practices that balance cooperative and competitive engagement may support mathematics achievement, while the study’s preprocessing and lack of reported model metrics/weights limit precision and generalizability.",Mathematics,Cognitive Achievement,Student: SES; Student: Attitudinal/Behavioral; School/Teacher: Context
10.33225/jbse/22.21.575,PISA 2018 Science (PV1SCIE; 15-year-olds),Science achievement (low vs high using PV1SCIE thresholds),"Perceived PISA test difficulty (PISADIFF), Meta-cognition assess credibility (METASPAM), Meta-cognition summarizing texts (METASUM), Science learning time per week (SMINS), School lessons per week (ST060Q01NA)",Not reported,"Using PISA 2018 Science data (PV1SCIE; 15-year-olds), the study leveraged PISADIFF, METASPAM, METASUM, and school learning-time indicators (SMINS and ST060Q01NA) to classify students into low vs high science ability, finding that student-level self-awareness/metacognition and school instructional time were key common predictors and that cooperation/competition dynamics supported science performance. This indicates that science improvement strategies should combine metacognitive skill development with adequate, well-organized instructional time, while the CART approach remains correlational/predictive rather than causal.",peer_reviewed_research,Not reported,"Using PISA 2018 Science data (PV1SCIE; 15-year-olds), the study leveraged PISADIFF, METASPAM, METASUM, and school learning-time indicators (SMINS and ST060Q01NA) to classify students into low vs high science ability, finding that student-level self-awareness/metacognition and school instructional time were key common predictors and that cooperation/competition dynamics supported science performance. This indicates that science improvement strategies should combine metacognitive skill development with adequate, well-organized instructional time, while the CART approach remains correlational/predictive rather than causal.",Science,Cognitive Achievement,Student: Attitudinal/Behavioral; Student: SES; School/Teacher: Context
10.1177/00332941221133005,PISA 2015 (KOR; most students in grade 10) — school belonging (ST034),Sense of school belonging (ST034; 4-point Likert),"Student gender, Educational software at home, Threatened by other students, Teacher insulted in front of others, Life satisfaction","Group Mnet — test RMSE stable across 100 iterations: range 0.36–0.41, mean 0.39 (SD=0.009). Average selected variables per run: 74.55 (SD=22.14) out of 504; ~14.8% selected per run.","Using PISA 2015 (KOR) the study leveraged student gender, home ICT resources, perceived school climate threats, teacher treatment, and life satisfaction to predict students’ sense of school belonging (ST034), finding that predictors spanning background, school climate, peer/teacher relationships, parental involvement, motivation/anxiety, ICT attitudes, and learning/physical activities contributed to prediction with stable test RMSE (≈0.39). This indicates that strengthening supportive school climate and positive teacher–peer relationships, alongside targeted supports for students’ motivation and anxiety, may improve school belonging, though the results are predictive and do not establish causal effects.",peer_reviewed_research,"Group Mnet — test RMSE stable across 100 iterations: range 0.36–0.41, mean 0.39 (SD=0.009). Average selected variables per run: 74.55 (SD=22.14) out of 504; ~14.8% selected per run.","Using PISA 2015 (KOR) the study leveraged student gender, home ICT resources, perceived school climate threats, teacher treatment, and life satisfaction to predict students’ sense of school belonging (ST034), finding that predictors spanning background, school climate, peer/teacher relationships, parental involvement, motivation/anxiety, ICT attitudes, and learning/physical activities contributed to prediction with stable test RMSE (≈0.39). This indicates that strengthening supportive school climate and positive teacher–peer relationships, alongside targeted supports for students’ motivation and anxiety, may improve school belonging, though the results are predictive and do not establish causal effects.",Non-Cognitive / Process Output,Attitudinal / Affective,Student: Demographic; Student: Attitudinal/Behavioral; School/Teacher: Practice
10.1186/s40536-025-00246-x,PIRLS 2016 to compute design effects for multiple po,reading achievement,,Not reported,"Using PIRLS 2016 to compute design effects for multiple po the study leveraged the reported predictors to predict reading achievement, finding that This paper is a design-effect and uncertainty quantification study rather than a predictive modeling paper. Using PIRLS 2016 reading achievement data for grade four, it decomposes total uncertainty into sampling variance (complex stratified multistage sampling with clustering) and assessment variance (matrix sampling of items and plausible-values measurement). For sampling variance, it relies on PIRLS’ Jackknife Repeated Replications (JRR) to approximate the sampling distribution of estimators under the complex design. For assessment variance, it uses the random multiple imputation framework underlying plausible values, treating variability across plausible-value replications as measurement variance. Across 57 participating populations, the authors find that when estimating the mean achievement, the sampling design effect is often larger than the assessment design effect, but this is context dependent (e.g., assessment design effects exceed sampling effects in Macao and Malta). For other parameters—benchmark exceedance/probabilities and an OLS regression coefficient—the relative dominance of sampling vs assessment design effects attenuates and becomes less predictable, implying that credible inference requires accounting for both sources of design-based uncertainty. This indicates that these patterns have implications for educational policy and instructional practice, though cross-sectional ILSA designs cannot establish causality.",methodology_paper,Not reported,"Using PIRLS 2016 to compute design effects for multiple po the study leveraged the reported predictors to predict reading achievement, finding that This paper is a design-effect and uncertainty quantification study rather than a predictive modeling paper. Using PIRLS 2016 reading achievement data for grade four, it decomposes total uncertainty into sampling variance (complex stratified multistage sampling with clustering) and assessment variance (matrix sampling of items and plausible-values measurement). For sampling variance, it relies on PIRLS’ Jackknife Repeated Replications (JRR) to approximate the sampling distribution of estimators under the complex design. For assessment variance, it uses the random multiple imputation framework underlying plausible values, treating variability across plausible-value replications as measurement variance. Across 57 participating populations, the authors find that when estimating the mean achievement, the sampling design effect is often larger than the assessment design effect, but this is context dependent (e.g., assessment design effects exceed sampling effects in Macao and Malta). For other parameters—benchmark exceedance/probabilities and an OLS regression coefficient—the relative dominance of sampling vs assessment design effects attenuates and becomes less predictable, implying that credible inference requires accounting for both sources of design-based uncertainty. This indicates that these patterns have implications for educational policy and instructional practice, though cross-sectional ILSA designs cannot establish causality.",Reading,Cognitive Achievement,
10.1109/ACCESS.2025.3538585,PISA 2022 Mathematics (Spain) — Low vs High proficiency classification,Mathematics proficiency (Low vs High),"Grade repetition, Digital devices with screens, Extra mathematics classes, Number of books at home, Gender","Meta-model (stacking) — AUC: 0.9766; metrics reported across Accuracy, Recall, Precision, Specificity, F1; exact values per metric not fully enumerated in the provided text.","Using PISA 2022 Mathematics data for Spain, the study leveraged grade repetition, digital devices with screens, extra mathematics classes, number of books at home, and gender to predict mathematics proficiency (Low vs High), finding that the stacking meta-model outperformed individual classifiers with an AUC of 0.9766. This indicates that targeting grade repeaters and optimizing home learning resources (digital access and books) alongside structured extra mathematics support may improve the identification and support of students at risk of low mathematics achievement, though the results are predictive and SHAP-based interpretability does not establish causality.",peer_reviewed_research,"Meta-model (stacking) — AUC: 0.9766; metrics reported across Accuracy, Recall, Precision, Specificity, F1; exact values per metric not fully enumerated in the provided text.","Using PISA 2022 Mathematics data for Spain, the study leveraged grade repetition, digital devices with screens, extra mathematics classes, number of books at home, and gender to predict mathematics proficiency (Low vs High), finding that the stacking meta-model outperformed individual classifiers with an AUC of 0.9766. This indicates that targeting grade repeaters and optimizing home learning resources (digital access and books) alongside structured extra mathematics support may improve the identification and support of students at risk of low mathematics achievement, though the results are predictive and SHAP-based interpretability does not establish causality.",Mathematics,Cognitive Achievement,Student: Demographic; Student: Attitudinal/Behavioral; Student: SES
10.1109/ACCESS.2025.3538585,PISA 2022 Mathematics (Spain) — Medium vs High proficiency classification,Mathematics proficiency (Medium vs High),"Digital devices with screens, Gender, Study/homework before class, Grade repetition, Extra mathematics classes","Meta-model — reported as outperforming individual models across Accuracy, Recall, Precision, Specificity, F1, and AUC; exact AUC/ACC values not fully enumerated in the provided text.","Using PISA 2022 Mathematics data for Spain, the study leveraged digital devices with screens, gender, study/homework before class, grade repetition, and extra mathematics classes to predict mathematics proficiency (Medium vs High), finding that the stacking meta-model achieved superior discrimination across the reported classification metrics. This indicates that strengthening study habits before class and ensuring effective use of digital resources may help move students from medium to high mathematics performance, though the paper’s interpretability relies on SHAP and the analysis does not document PV handling or survey-weighted estimation.",peer_reviewed_research,"Meta-model — reported as outperforming individual models across Accuracy, Recall, Precision, Specificity, F1, and AUC; exact AUC/ACC values not fully enumerated in the provided text.","Using PISA 2022 Mathematics data for Spain, the study leveraged digital devices with screens, gender, study/homework before class, grade repetition, and extra mathematics classes to predict mathematics proficiency (Medium vs High), finding that the stacking meta-model achieved superior discrimination across the reported classification metrics. This indicates that strengthening study habits before class and ensuring effective use of digital resources may help move students from medium to high mathematics performance, though the paper’s interpretability relies on SHAP and the analysis does not document PV handling or survey-weighted estimation.",Mathematics,Cognitive Achievement,Student: Attitudinal/Behavioral; Student: Demographic; Student: SES
10.1109/ACCESS.2025.3538585,PISA 2022 Mathematics (Spain) — Low vs Medium proficiency classification,Mathematics proficiency (Low vs Medium),"Grade repetition, Digital devices with screens, Extra mathematics classes, Number of books at home, Study/homework before class",Meta-model — reported as improving ACC and generalization performance; exact metric values not fully enumerated in the provided text.,"Using PISA 2022 Mathematics data for Spain, the study leveraged grade repetition, digital devices with screens, extra mathematics classes, number of books at home, and study/homework before class to predict mathematics proficiency (Low vs Medium), finding that the ensemble meta-model provided the best overall discrimination and that SHAP highlighted grade repetition as strongly associated with low performance. This indicates that early intervention for students who repeat grades, combined with home-resource and homework-support strategies, may reduce the probability of remaining in low mathematics proficiency bands, while causality cannot be inferred from SHAP feature importance alone.",peer_reviewed_research,Meta-model — reported as improving ACC and generalization performance; exact metric values not fully enumerated in the provided text.,"Using PISA 2022 Mathematics data for Spain, the study leveraged grade repetition, digital devices with screens, extra mathematics classes, number of books at home, and study/homework before class to predict mathematics proficiency (Low vs Medium), finding that the ensemble meta-model provided the best overall discrimination and that SHAP highlighted grade repetition as strongly associated with low performance. This indicates that early intervention for students who repeat grades, combined with home-resource and homework-support strategies, may reduce the probability of remaining in low mathematics proficiency bands, while causality cannot be inferred from SHAP feature importance alone.",Mathematics,Cognitive Achievement,Student: Demographic; Student: Attitudinal/Behavioral; Student: SES
10.1016/j.seps.2019.06.009,PISA 2012 (Tunisia) — school-level efficiency (2011–2012) using DDF/DEA,School inefficiency score (DDF output),"School size, Class size, Proportion of girls, Competition (dummy), Parental pressure","Regression tree (RT): graphical splits and mean inefficiency by node; Random Forest (RF): variable importance ranges (Pressure 8.492%, Competition 10.499%, Location 10.913%, Class size 21.022%, School size 46.517%, % Girls 47.773%). Linear robustness checks: OLS and Tobit reported significance at 5% for Competition and School location (coefficients shown in Tables 6–7).","Using PISA 2012 (Tunisia) school-level the study leveraged school size, class size, proportion of girls, competition, and parental pressure to predict school inefficiency (a DDF/DEA-derived measure combining PISA achievement and dropout). It found that inefficiency is strongly and non-linearly associated with school size and the proportion of girls, with RF importance ranking % girls and school size as the top contributors (≈48% each), while competition and parental pressure show conditional effects through interactions captured by the regression tree. This indicates that Tunisian secondary-school improvement policies should prioritize organizational levers (school/class size and gender composition) and tailor interventions to interaction patterns rather than assuming linear, one-factor-at-a-time relationships, though the study’s ML stage does not report survey-weighted inference and causality cannot be inferred from predictive importance.",peer_reviewed_research,"Regression tree (RT): graphical splits and mean inefficiency by node; Random Forest (RF): variable importance ranges (Pressure 8.492%, Competition 10.499%, Location 10.913%, Class size 21.022%, School size 46.517%, % Girls 47.773%). Linear robustness checks: OLS and Tobit reported significance at 5% for Competition and School location (coefficients shown in Tables 6–7).","Using PISA 2012 (Tunisia) school-level the study leveraged school size, class size, proportion of girls, competition, and parental pressure to predict school inefficiency (a DDF/DEA-derived measure combining PISA achievement and dropout). It found that inefficiency is strongly and non-linearly associated with school size and the proportion of girls, with RF importance ranking % girls and school size as the top contributors (≈48% each), while competition and parental pressure show conditional effects through interactions captured by the regression tree. This indicates that Tunisian secondary-school improvement policies should prioritize organizational levers (school/class size and gender composition) and tailor interventions to interaction patterns rather than assuming linear, one-factor-at-a-time relationships, though the study’s ML stage does not report survey-weighted inference and causality cannot be inferred from predictive importance.",Composite / Multi-Domain,Cognitive Achievement,School/Teacher: Context; Student: Attitudinal/Behavioral
10.1186/s40536-025-00262-x,TIMSS 2011→2015 Grade 8 Mathematics (Method 1 and Method 2 components),Math achievement (country-level mean; residual screening),"Country indicator, Books at home, Gender, Belonging at school, Self-confidence in math","Residual screening: countries with positive residuals above the 80th percentile (no RMSE/accuracy reported). For 2015 Grade 8 Math (29 countries in both pairs): Method 1 (2011–2015) median residual −0.2, IQR 7.7; Method 2 (2015–2019) median residual 0.6, IQR 7.6; 5 countries above 80th percentile in each pair (2011–2015: Dubai, Italy, New Zealand, Kuwait, Chile; 2015–2019: Iran, Ireland, Chile, Italy, Turkey).","Using TIMSS 2011→2015 and 2015→2019 Grade 8 Mathematics the study leveraged country indicator and student background/context variables (e.g., books at home, gender, school belonging, and math self-confidence) to predict country-level mean math achievement and compute residuals for screening. It found that residual distributions were generally well-behaved and that only a small set of countries fell into the upper tail (above the 80th percentile), suggesting the composite residual indicator can flag potentially unusual outcomes without producing widespread false alarms. This indicates that neural-network-based prediction with regression-based bias mitigation could strengthen TIMSS quality assurance by providing an additional, model-based screening signal for follow-up investigations, though the paper does not establish causal validity or provide uncertainty metrics for the screening threshold.",peer_reviewed_research,"Residual screening: countries with positive residuals above the 80th percentile (no RMSE/accuracy reported). For 2015 Grade 8 Math (29 countries in both pairs): Method 1 (2011–2015) median residual −0.2, IQR 7.7; Method 2 (2015–2019) median residual 0.6, IQR 7.6; 5 countries above 80th percentile in each pair (2011–2015: Dubai, Italy, New Zealand, Kuwait, Chile; 2015–2019: Iran, Ireland, Chile, Italy, Turkey).","Using TIMSS 2011→2015 and 2015→2019 Grade 8 Mathematics the study leveraged country indicator and student background/context variables (e.g., books at home, gender, school belonging, and math self-confidence) to predict country-level mean math achievement and compute residuals for screening. It found that residual distributions were generally well-behaved and that only a small set of countries fell into the upper tail (above the 80th percentile), suggesting the composite residual indicator can flag potentially unusual outcomes without producing widespread false alarms. This indicates that neural-network-based prediction with regression-based bias mitigation could strengthen TIMSS quality assurance by providing an additional, model-based screening signal for follow-up investigations, though the paper does not establish causal validity or provide uncertainty metrics for the screening threshold.",Composite / Multi-Domain,Cognitive Achievement,System: Policy/Context; Student: SES; Student: Demographic; School/Teacher: Context; Student: Attitudinal/Behavioral
10.1186/s40536-025-00262-x,TIMSS 2011→2015 Grade 8 Science (Method 1 and Method 2 components),Science achievement (country-level mean; residual screening),"Country indicator, Internet connection at home, Peer teasing/bullying, Feeling safe at school, Teacher expectations clarity","Residual screening: countries with positive residuals above the 80th percentile (no RMSE/accuracy reported). For 2015 Grade 8 Science (22 countries in both pairs): Method 1 (2011–2015) median residual 0.0, IQR 7.5; Method 2 (2015–2019) median residual 0.1, IQR 7.8; 4 countries above 80th percentile in each pair (2011–2015: Qatar, Kuwait, Chile, New Zealand; 2015–2019: Hong Kong, England, Italy, US).","Using TIMSS 2011→2015 and 2015→2019 Grade 8 Science the study leveraged country indicator and student background/context variables (e.g., home ICT access, peer climate, school safety, and teacher expectations) to predict country-level mean science achievement and compute residuals for screening. It found that science residual distributions were again approximately centered near zero with a limited number of upper-tail countries, indicating that the approach can identify a small set of potentially unusual country outcomes. This indicates that adding residual-based, model-prediction QC indicators may help TIMSS adjudication teams prioritize costly investigations, while still requiring triangulation with sampling/implementation evidence because the method’s overlap with documented sample-quality/population-definition issues was modest.",peer_reviewed_research,"Residual screening: countries with positive residuals above the 80th percentile (no RMSE/accuracy reported). For 2015 Grade 8 Science (22 countries in both pairs): Method 1 (2011–2015) median residual 0.0, IQR 7.5; Method 2 (2015–2019) median residual 0.1, IQR 7.8; 4 countries above 80th percentile in each pair (2011–2015: Qatar, Kuwait, Chile, New Zealand; 2015–2019: Hong Kong, England, Italy, US).","Using TIMSS 2011→2015 and 2015→2019 Grade 8 Science the study leveraged country indicator and student background/context variables (e.g., home ICT access, peer climate, school safety, and teacher expectations) to predict country-level mean science achievement and compute residuals for screening. It found that science residual distributions were again approximately centered near zero with a limited number of upper-tail countries, indicating that the approach can identify a small set of potentially unusual country outcomes. This indicates that adding residual-based, model-prediction QC indicators may help TIMSS adjudication teams prioritize costly investigations, while still requiring triangulation with sampling/implementation evidence because the method’s overlap with documented sample-quality/population-definition issues was modest.",Science,Cognitive Achievement,System: Policy/Context; Student: Attitudinal/Behavioral; School/Teacher: Context; School/Teacher: Practice
10.1186/s40536-025-00262-x,TIMSS Grade 8 Mathematics and Science (RQ3 composite indicator across Method 1 and Method 2),Composite QC indicator correspondence (screened set vs sample-quality/population-definition flags),"Residual screening from Method 1, Residual screening from Method 2, Upper quintile threshold","Correspondence: modest overlap between screened set (union of countries in top quintiles from either method) and countries flagged in TIMSS documentation for substantial changes in sample quality and/or population definition. Examples reported: TIMSS 2015 Grade 8—Kazakhstan, Saudi Arabia, Turkey had exclusion rates >10%; Turkey, Quebec, US flagged for low participation; overlap only for Kazakhstan, Iran, Turkey in math and Georgia, New Zealand in science. TIMSS 2019 Grade 8—Saudi Arabia, Kazakhstan, Russia had notable exclusion rates; Hong Kong, Norway, US flagged for participation concerns; overlap only for Iran, Italy, Turkey in math and Hong Kong, Italy, US in science.","Using TIMSS Grade 8 Mathematics and Science the study combined residual-based screening from two neural-network/regression QC methods (union of top-quintile countries) and compared the screened set to TIMSS documentation about sample-quality and population-definition changes. It found only modest correspondence, implying that large positive residuals sometimes reflect broader workflow anomalies not captured by the documented sampling-quality indicators. This indicates that residual-based QC should be treated as a complementary screening tool rather than a definitive adjudication criterion, and that future TIMSS QC research should triangulate residual signals with paradata and implementation indicators to improve specificity.",peer_reviewed_research,"Correspondence: modest overlap between screened set (union of countries in top quintiles from either method) and countries flagged in TIMSS documentation for substantial changes in sample quality and/or population definition. Examples reported: TIMSS 2015 Grade 8—Kazakhstan, Saudi Arabia, Turkey had exclusion rates >10%; Turkey, Quebec, US flagged for low participation; overlap only for Kazakhstan, Iran, Turkey in math and Georgia, New Zealand in science. TIMSS 2019 Grade 8—Saudi Arabia, Kazakhstan, Russia had notable exclusion rates; Hong Kong, Norway, US flagged for participation concerns; overlap only for Iran, Italy, Turkey in math and Hong Kong, Italy, US in science.","Using TIMSS Grade 8 Mathematics and Science the study combined residual-based screening from two neural-network/regression QC methods (union of top-quintile countries) and compared the screened set to TIMSS documentation about sample-quality and population-definition changes. It found only modest correspondence, implying that large positive residuals sometimes reflect broader workflow anomalies not captured by the documented sampling-quality indicators. This indicates that residual-based QC should be treated as a complementary screening tool rather than a definitive adjudication criterion, and that future TIMSS QC research should triangulate residual signals with paradata and implementation indicators to improve specificity.",Other / Unspecified,Other,Student: Attitudinal/Behavioral
